dataset.id,dataset.title,dataset.slug,dataset.url,dataset.organization,dataset.organization_id,dataset.license,dataset.private,id,url,title,description,filetype,format,mime,filesize,checksum.type,checksum.value,created_at,modified,downloads
60190d00a7273a8100dd4d38,Synthèse des indicateurs de suivi de l’épidémie COVID-19,synthese-des-indicateurs-de-suivi-de-lepidemie-covid-19,http://www.data.gouv.fr/fr/datasets/synthese-des-indicateurs-de-suivi-de-lepidemie-covid-19/,Santé publique France,5e721a395d57f93d0bed451f,Licence Ouverte / Open Licence version 2.0,False,5c4e1452-3850-4b59-b11c-3dd51d7fb8b5,https://static.data.gouv.fr/resources/synthese-des-indicateurs-de-suivi-de-lepidemie-covid-19/20220529-190012/table-indicateurs-open-data-dep-2022-05-29-19h00.csv,table-indicateurs-open-data-dep-2022-05-29-19h00.csv,,file,csv,text/csv,9003159,sha1,75b9d914ec2487caee7be9ce08c88b9c223a3e32,2021-02-02T10:52:56.839000,2022-05-29T19:00:13.386000,1120
60190d00a7273a8100dd4d38,Synthèse des indicateurs de suivi de l’épidémie COVID-19,synthese-des-indicateurs-de-suivi-de-lepidemie-covid-19,http://www.data.gouv.fr/fr/datasets/synthese-des-indicateurs-de-suivi-de-lepidemie-covid-19/,Santé publique France,5e721a395d57f93d0bed451f,Licence Ouverte / Open Licence version 2.0,False,f335f9ea-86e3-4ffa-9684-93c009d5e617,https://static.data.gouv.fr/resources/synthese-des-indicateurs-de-suivi-de-lepidemie-covid-19/20220529-190011/table-indicateurs-open-data-france-2022-05-29-19h00.csv,table-indicateurs-open-data-france-2022-05-29-19h00.csv,,file,csv,text/csv,102440,sha1,b7581eb58e9fa73c95736da3d565bc9d150c7ee5,2021-02-02T10:52:47.406000,2022-05-29T19:00:11.126000,2036
